,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
497,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,9120,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,Normal,Good,Above Average,1925,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Good,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,329,Unfinished,0,697,1026,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1133,687,1820,2,0,4,1,Average/Typical,8,0,No Fireplace,Detached from home,1925,Unfinished,1,240,Typical/Average,Typical/Average,Dirt/Gravel,0,100,0,0,0,Good Privacy,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,184000,20.17543859649123,83
498,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,7800,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Good,1967,2004,Hip,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,450,Unfinished,0,414,864,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,899,0,899,1,0,3,1,Good,5,0,No Fireplace,Attached to the home,1967,Finished,1,288,Typical/Average,Typical/Average,Paved,64,0,0,0,0,Minimum Privacy,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,130000,16.666666666666668,42
499,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7535,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1958,1985,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,111,Low Quality,279,522,912,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,912,0,912,1,0,2,1,Average/Typical,5,0,No Fireplace,Attached to the home,1958,Finished,1,297,Typical/Average,Typical/Average,Paved,12,285,0,0,0,Minimum Wood/Wire,Shed (over 100 Square Feet),480,June 2007,Warranty Deed - Conventional,Normal Sale,120000,15.925680159256801,49
500,2-STORY PUD - 1946 & NEWER,Residential Medium Density,21,1890,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Briardale,Normal,Above Average,Average,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,356,Unfinished,0,316,672,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,672,546,1218,1,1,3,1,Average/Typical,7,0,No Fireplace,Detached from home,1973,Unfinished,1,264,Typical/Average,Typical/Average,Paved,144,28,0,0,0,No Fence,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,113000,59.78835978835979,34
501,2-STORY 1946 & NEWER,Floating Village Residential,75,9803,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,400,Unfinished,0,466,866,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,866,902,1768,2,1,3,1,Good,7,0,No Fireplace,Attached to the home,2005,Rough Finished,2,603,Typical/Average,Typical/Average,Paved,0,108,0,0,0,No Fence,No Extra Feature,0,February 2008,Warranty Deed - Conventional,Normal Sale,226700,23.12557380393757,3
502,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9170,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Edwards,Adjacent to feeder street & Normal,Average,Good,1965,1965,Hip,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,698,Good Living Quarters,96,420,1214,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1214,0,1214,1,0,2,1,Average/Typical,6,0,No Fireplace,Detached from home,1965,Unfinished,2,461,Fair,Fair,Paved,0,0,184,0,0,Good Privacy,Shed (over 100 Square Feet),400,April 2007,Warranty Deed - Conventional,Normal Sale,140000,15.267175572519085,42
503,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,15602,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Crawford,Normal,Good,Very Good,1959,1997,Gable,Standard (Composite) Shingle,Brick Face & Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,1247,Unfinished,0,254,1501,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1801,0,1801,2,0,1,1,Average/Typical,6,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1959,Finished,2,484,Typical/Average,Typical/Average,Paved,0,54,0,0,161,Good Wood,No Extra Feature,0,March 2010,Warranty Deed - Conventional,Normal Sale,289000,18.523266247916933,51
504,2-STORY PUD - 1946 & NEWER,Residential Low-Density,24,2308,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northpark Villa,Normal,Above Average,Average,1974,1974,Gable,Standard (Composite) Shingle,Plywood & Brick Common,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,257,Average Rec Room,495,103,855,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,855,467,1322,2,1,3,1,Average/Typical,6,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1974,Unfinished,2,440,Typical/Average,Typical/Average,Paved,260,0,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,147000,63.69150779896014,35
505,DUPLEX - ALL STYLES AND AGES,Residential Medium Density,60,7596,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Adjacent to arterial street & Normal,Average,Average,1952,1952,Hip,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,960,960,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,960,1000,1960,2,0,4,2,Average/Typical,10,0,No Fireplace,Detached from home,1952,Unfinished,2,400,Typical/Average,Typical/Average,Dirt/Gravel,0,0,0,0,0,No Fence,No Extra Feature,0,July 2009,Court Officer Deed/Estate,Normal Sale,124500,16.390205371248026,57
506,2-STORY 1946 & NEWER,Residential Low-Density,80,9554,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Normal,Very Good,Average,1993,1994,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,380,Unfinished,0,397,777,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1065,846,1911,2,1,3,1,Good,8,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1993,Rough Finished,2,471,Typical/Average,Typical/Average,Paved,182,81,0,0,0,No Fence,No Extra Feature,0,September 2006,Warranty Deed - Conventional,Normal Sale,215000,22.50366338706301,13
507,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,75,7862,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Above Average,Average,2009,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,27,Unfinished,0,1191,1218,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1218,0,1218,2,0,2,1,Good,4,0,No Fireplace,Attached to the home,2009,Finished,2,676,Typical/Average,Typical/Average,Paved,0,102,0,0,0,No Fence,No Extra Feature,0,September 2009,Home just constructed and sold,Home was not completed when last assessed,208300,26.494530653777666,0
508,2-STORY 1945 & OLDER,Residential Medium Density,60,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Normal,Good,Excellent,1928,2005,Gabrel (Barn),Standard (Composite) Shingle,Metal Siding,Average/Typical,Excellent,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,141,Unfinished,0,548,689,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,689,689,1378,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Detached from home,1928,Unfinished,2,360,Typical/Average,Typical/Average,Dirt/Gravel,0,0,116,0,0,No Fence,No Extra Feature,0,October 2008,Warranty Deed - Conventional,Normal Sale,161000,16.770833333333332,80
509,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1959,1959,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,991,Unfinished,0,50,1041,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1041,0,1041,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1959,Rough Finished,1,270,Typical/Average,Typical/Average,Paved,224,88,0,0,0,Minimum Privacy,No Extra Feature,0,July 2009,Warranty Deed - Conventional,Normal Sale,124500,12.96875,50
510,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,14559,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1951,2000,Hip,Standard (Composite) Shingle,Wood Siding,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,650,Average Rec Room,180,178,1008,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1363,0,1363,1,0,2,1,Average/Typical,6,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Car Port,1951,Unfinished,1,288,Typical/Average,Typical/Average,Paved,324,42,0,0,168,No Fence,Shed (over 100 Square Feet),2000,June 2009,Warranty Deed - Conventional,Normal Sale,164900,11.32632735764819,58
511,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,40,6792,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1368,1368,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1368,0,1368,2,0,2,1,Good,6,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Rough Finished,2,474,Typical/Average,Typical/Average,Paved,132,35,0,0,0,No Fence,No Extra Feature,0,March 2006,Home just constructed and sold,Home was not completed when last assessed,202665,29.838780918727917,1
512,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9100,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Adjacent to feeder street & Normal,Average,Average,1958,1958,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,521,Low Quality,174,169,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,864,0,864,1,0,3,1,Average/Typical,5,0,No Fireplace,Detached from home,1964,Unfinished,2,624,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,July 2006,Warranty Deed - Conventional,Normal Sale,129900,14.274725274725276,48
513,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,71,9187,Paved,No Alley Access,Regular,Banked,All Public Utilities,Corner Plot,Gentle Slope,Mitchell,Normal,Above Average,Average,1983,1983,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Good,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,336,Unfinished,0,748,1084,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1080,0,1080,1,1,3,1,Average/Typical,5,0,No Fireplace,Attached to the home,1983,Unfinished,2,484,Typical/Average,Typical/Average,Paved,120,0,158,0,0,No Fence,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,134000,14.585827800152389,24
514,1-1/2 STORY - UNFINISHED ALL AGES,Residential Low-Density,55,10594,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Crawford,Normal,Average,Average,1926,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,768,768,Gravity furnace,Fair,No,Standard Circuit Breakers & Romex,789,0,789,1,0,2,1,Average/Typical,5,0,No Fireplace,Detached from home,1926,Unfinished,1,200,Poor,Poor,Paved,0,0,112,0,0,Minimum Privacy,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,96500,9.108929582782707,81
515,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,94,12220,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Very Excellent,Average,2009,2009,Hip,Standard (Composite) Shingle,Cement Board,Excellent,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1436,Unfinished,0,570,2006,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2020,0,2020,2,1,3,1,Excellent,9,1,Good - Masonry Fireplace on the main level,Attached to the home,2009,Finished,3,900,Typical/Average,Typical/Average,Paved,156,54,0,0,0,No Fence,No Extra Feature,0,September 2009,Home just constructed and sold,Home was not completed when last assessed,402861,32.96734860883797,0
516,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,10448,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northwest Ames,Normal,Above Average,Above Average,1972,1972,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,689,689,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1378,741,2119,2,1,3,1,Average/Typical,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1972,Rough Finished,2,583,Typical/Average,Typical/Average,Paved,0,104,0,0,0,Good Privacy,No Extra Feature,0,August 2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",158000,15.122511485451762,37
517,2-STORY 1946 & NEWER,Residential Low-Density,79,10208,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge,Normal,Good,Average,1996,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1264,1264,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1277,1067,2344,2,1,3,1,Good,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1996,Rough Finished,3,889,Typical/Average,Typical/Average,Paved,220,0,0,0,0,No Fence,No Extra Feature,0,July 2009,Warranty Deed - Conventional,Normal Sale,265000,25.96003134796238,13
518,2-STORY 1946 & NEWER,Residential Low-Density,0,9531,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,College Creek,Normal,Above Average,Average,1998,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,706,Unfinished,0,88,794,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,882,914,1796,2,1,3,1,Average/Typical,7,0,No Fireplace,Attached to the home,1998,Rough Finished,2,546,Typical/Average,Typical/Average,Paved,0,36,0,0,0,Minimum Privacy,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,211000,22.138285594376246,9
519,2-STORY 1945 & OLDER,Residential Low-Density,53,10918,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Crawford,Normal,Good,Excellent,1926,2004,Gabrel (Barn),Standard (Composite) Shingle,Metal Siding,Good,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1276,1276,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1276,804,2080,1,1,3,1,Good,9,2,Good - Masonry Fireplace on the main level,Detached from home,1926,Unfinished,1,282,Typical/Average,Typical/Average,Paved,0,0,0,0,145,Minimum Privacy,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,234000,21.432496794284667,83
521,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,90,11988,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Adjacent to feeder street & Normal,Above Average,Above Average,1957,1957,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,777,Unfinished,0,467,1244,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1244,0,1244,1,1,3,1,Average/Typical,6,2,Good - Masonry Fireplace on the main level,Attached to the home,1957,Unfinished,1,336,Typical/Average,Typical/Average,Paved,0,40,0,0,0,No Fence,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,150000,12.512512512512513,50
